Заголовок;Ссылка на изображение;car link;Марка;Год;Описание;Кол-во людей;Кол-во дверей;Коробка передач;1-2 дня;3-6 дней;7-14 дней;15-30 дней;1-2 месяца;Залог;rt1;rt2;rt3;rt4;rt5;rt6;limit;orun;ch1;ch2;ch3;ch4;ch5;ch6;ch11;ch12;ch13;ch14;ch15;nolimit;fullprotect;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;class
Volkswagen Caravelle L2 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/221/205_134_1/2218d190cf34a7bae9bc1009069f3a71.jpg;;;;Новый Volkswagen Caravelle 2018г. c длинной базой, в богатой комплектации, с тяговитым дизельным двигателем, в сочетании с обновленной коробкой передач DSG создадут максимальный уровень комфорта для вас и ваших близких в дальних путешествиях.;8;4;Aвтомат;9200;8740;8280;7820;7360;25000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 20 P / км;Дизельный;"140 л.с.	";172 км/ч;14.7 с;8 л/100 км;;Автоматическая с двумя сцеплениями;07.сен;5406 мм;2018;;1500;1700;https://www.avtomaxi.ru/upload/resize_cache/iblock/459/498_374_1/459d5464a8d3319408eae59b106278e6.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/117/498_374_1/1171f2329b84ae8ccbaee01a2e0ca3fe.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ece/498_374_1/ece01d0cb3e4797f2fe56ae9df640ae4.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/e17/498_374_1/e17e6a6fdc53db07a29b6a0d05398ce5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/056/498_374_1/05611473546940e7cacc85b9e6ca41b5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1bb/498_374_1/1bb7e28219dd43d00a2d9152762503c5.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8f2/498_374_1/8f29b9da73d2d074776e5267d094341e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0c4/498_374_1/0c4b9f39a6cceb6d98c478b5e8eb7e25.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ee2/498_374_1/ee258c3da8ae6dc7304854fd1d9177d4.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/370/498_374_1/37074ffc362533e41c3fb9eaafd806d0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b9a/498_374_1/b9aa9b1842095dacf2d71cbb1379c6e0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/307/498_374_1/307e63ed46a0ea06d2eb52707db9d4c6.JPG;;;;Минивены
Toyota Land Cruiser Prado Style ;https://www.avtomaxi.ru/upload/resize_cache/iblock/1a3/205_134_1/1a318f2d9dec6b0f8e2469eaf88c27aa.jpg;;TOYOTA;2017;Внедорожник Toyota Land Cruiser Prado 2017г.в в богатой комплектацииStylec новейшим дизельным двигателем и кожаным салоном;5;5;Aвтомат;11000;10450;9900;9350;8800;25000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;178 л.с.;175 км/ч;12.7 с;7.4 л/100 км;Автоматическая;Полный;5;4780 мм;621 л;Кожа;2000;2200;https://www.avtomaxi.ru/upload/resize_cache/iblock/d41/498_374_1/d41a9307f80a67865df38ad1296444f8.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/e67/498_374_1/e674bb71250c77601215063305b65b43.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/d73/498_374_1/d7368703543f8d4fbd61de84e0319d0b.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/533/498_374_1/5331d985a61e2430fe19ae0426b1dcbc.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/fcf/498_374_1/fcf691bcb8c8e37a1396a80aeec53ab6.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/91c/498_374_1/91c271b6f2edd35f742b2ef6e2f9845e.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ecf/498_374_1/ecfc4276066e97dec0a4ae999e02583a.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b33/498_374_1/b33b1cbd30904c2fc62201703146bd92.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/95f/498_374_1/95fa964a37c42d443bce6f648a710146.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/beb/498_374_1/bebf4f9a0c21e0e63dcd311a98d8c636.jpg;;;;;;Внедорожники
Mercedes E220d 4MATIC AMG rest. ;https://www.avtomaxi.ru/upload/resize_cache/iblock/232/205_134_1/232571cf7d23404a035078f30457f96d.png;;Mercedes;2020-21;Аренда Mersedes E-class W213 restyling 2021 года, в богатой комплектации E220d 4MATIC Sport в новейшем кузове с дизельным двигателем, полным приводом и в AMG стайлинге.;5;4;Aвтомат;12000;11400;10800;10200;9600;30000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 15 P / км;Дизельный;194 л.с.;239 км/ч;7.5 с;5.4 л/100 км;Автоматическая;Полный;5;4935 мм;540 л;2020;2000;2400;https://www.avtomaxi.ru/upload/resize_cache/iblock/3f3/498_374_1/3f3caaa7d6f94cc85dd2f8e17bfa7b83.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/20c/498_374_1/20c435cd40e7dc768324d04a8d69d9b6.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1df/498_374_1/1df1c0d7426b285451f3877b9e4eec1f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d98/498_374_1/d985e262761d030eaa9b8ad8ad8354ba.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/b57/498_374_1/b57fb49bffa134b6b3a426f9db173e34.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9f6/498_374_1/9f6412ad63a618eb48a128b6cab79ee0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5a8/498_374_1/5a8bfa0019e8de2b2718bef0a9cde0b7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/de0/498_374_1/de0e8ffd9bfbda465be638560b15289a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/da9/498_374_1/da9000f9f2602cc4a9f190a2b3f901b0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4a5/498_374_1/4a5af824504ece4fab36dce14bcedbcb.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1cd/498_374_1/1cd73d0f8ba8132e6c15dcf07bef62c1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d9b/498_374_1/d9b1b114bfa3fdc9ed70041b6a7ebffe.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/730/498_374_1/730759f1c4cae6288d29d0c98dd19f72.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/ae0/498_374_1/ae06ceba59d3aebd7f043b707904e6e8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/9fc/498_374_1/9fcb45eab0842b25f24d5cdc13c17468.JPG;Бизнес
Mercedes V class Avangard ;https://www.avtomaxi.ru/upload/resize_cache/iblock/d51/205_134_1/d5108d7e651e2b8c476784a4ab089fd2.jpg;;MERCEDES;2019;Аренда Mercedes V 220 D 4Matik в комплектации Avangard с кожаным салоном и полным приводом;7;5;Aвтомат;14500;13775;13050;12325;11600;40000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 20 P / км;Дизельный;163 л.с.;194 км/ч;11.8 с;5.7 л/100 км;;Автоматическая;Полный;6;5140 мм;2018;2400;2800;https://www.avtomaxi.ru/upload/resize_cache/iblock/868/498_374_1/868fa3451c538c67839bb6bbcb9eb4ea.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2d6/498_374_1/IMG_8606.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/be0/498_374_1/be06820963dda50ee32df9ae76a0f66a.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/e0c/498_374_1/IMG_8608.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e19/498_374_1/IMG_8577.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/435/498_374_1/IMG_8585.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fd1/498_374_1/IMG_8588.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d29/498_374_1/IMG_8667.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e8d/498_374_1/IMG_8609.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a5c/498_374_1/IMG_8611.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/0ca/498_374_1/IMG_8668.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/d4b/498_374_1/IMG_8659.JPG;;;;Премиум
Mercedes GLE W167 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/30b/205_134_1/30bb8cf5ec5c521e97ef70999abe6d5c.jpeg;;Mercedes;2019;Mercedes GLE 300D - средне размерный люксовый внедорожник престижной марки;5;5;Aвтомат;15900;15105;14310;13515;12720;40000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 20 P / км;Дизельный;245 л.с. при 3600 об/мин;225 км/ч;7.2 с;6,4 л/100 км;автоматическая;полный;5;4924 мм;630 л;2019;2500;3000;https://www.avtomaxi.ru/upload/resize_cache/iblock/f27/498_374_1/f27510d093b85be1753672790a17a69b.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/094/498_374_1/0948a8bda2b5a61cdf9118e3516ccc4c.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/eb6/498_374_1/eb6acea962c39b1029d2cc50262645d1.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2c3/498_374_1/2c34c672d87406f4da0d0b4057e41af4.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ddd/498_374_1/ddd90e6f553f7961c2d581960624a038.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ef8/498_374_1/ef8c4cf45ada571b07464ba1518fc3e5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/38c/498_374_1/38c4d80c79f5726196f749d68778dab5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/40b/498_374_1/40be9b99c0ac4e7393727951695561d5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/c2d/498_374_1/c2d3fb0652c7019baccec6b058bc9932.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/719/498_374_1/71945482c7e9b5a6645f914f0f9e5ac4.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b27/498_374_1/b275b9394542eb99efc60d2d5c200d36.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/245/498_374_1/245f0e593c50f27999707e3932dded7b.jpg;;;;Премиум
Mercedes S W222 rest.2018 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/86e/205_134_1/86e71971f88aacb3443d2bd4b3fab3bc.jpg;;MERCEDES;2018;Аренда МЕРСЕДЕС 222 2018 г.в. - непревзойденное сочетание комфорта, стиля и престижа! Самые передовые технологии в одном из лучших автомобилей современности!;4;4;Aвтомат;15200;15200;14400;13600;12800;40000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 25 P / км;Дизельный;250 л.с. ;250 км/ч;5.8 с;5,7 л/100 км;Автоматическая;Полный;5;5255 мм;510 л;2018;2500;3000;https://www.avtomaxi.ru/upload/resize_cache/iblock/d86/498_374_1/d86f30738ae9c2b6c64afc291012f2d9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e7e/498_374_1/e7e5b538b485110e83266da85897713b.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/799/498_374_1/799ee8b66bab1326713ab8b03f356c66.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/bd5/498_374_1/bd5d72a4a6b95c43b09ed81b19cd1d95.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/404/498_374_1/404f8b5aa0c1117b0f687a1fa765677d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/cd5/498_374_1/cd52d60191a7a1e4b02a01ca34395837.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7d4/498_374_1/7d4138a7aa748033c4b87e44eb58502c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/623/498_374_1/623850c2acc072f5830d98d8a10f3ba0.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/44b/498_374_1/44b5941a293bf5e9835b0146f2a6efc2.JPG;;;;;;;Премиум
Mercedes GLS  ;https://www.avtomaxi.ru/upload/resize_cache/iblock/066/205_134_1/06698d8e10b0e9dee1d87cb1bdda37f1.jpeg;;Mercedes;2018;Mercedes GLS класс - 7 местный флагман линейки внедорожников Мерседес, вершина технологий, проходимости и комфорта.;7;5;Aвтомат;16900;16055;15210;14365;13520;50000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 25 P / км;Дизельный;249 л.с.;222 км/ч;7,8 сек;7.6 л/100 км;Автоматическая;Полный;5120 мм;680 л.;7;2018;2500;3200;https://www.avtomaxi.ru/upload/resize_cache/iblock/0c8/498_374_1/0c817951a71b6191659fad60dca834b6.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/415/498_374_1/4153768af0793d3b0cfd550325a95cf7.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/4e5/498_374_1/4e5fd2afcd3d4aaedd7beb7e8d8be758.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2fa/498_374_1/2fa55c053b595210ce9685e5441da3ef.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/771/498_374_1/7715c476adbd8f68e23f10e421a28bd9.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/abf/498_374_1/abf15141f0e733c2afba2dc49a47c81a.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b66/498_374_1/b6672767b442da91d5cda52bfadecf59.jpg;;;;;;;;;Премиум
BMW X6 30d G06 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/ecf/205_134_1/ecf0189ec2d84ea6820f1395ea8115e8.jpeg;;BMW;2020;BMW X6 3.0d G06 2020 г. - кросс купе премиальной марки.;5;5;Aвтомат;17000;16150;15300;14450;13600;50000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 20 P / км;Дизельный;249 л.с. ;230 км/ч;6.5 с;6.6 л/100 км;Автоматическая;Полный;5;4935 мм;580 л;2020;2700;3200;https://www.avtomaxi.ru/upload/resize_cache/iblock/b33/498_374_1/b33819968bb5b9435d8b423ba26ed6c5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b3f/498_374_1/b3fa0c3559bcacbb76fb79b156b71241.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b08/498_374_1/b0803f224afae6a9e6c7ffdaad0b98f5.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/e0c/498_374_1/e0c3157a367622e25dae9e9f32648fcc.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/651/498_374_1/6511f1d310cc3f325cd07d3667944f71.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/4cb/498_374_1/4cb49bbd18659b3cfd2868329b9ffc5f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/0e2/498_374_1/0e2cb9084ab374b9928c271b8b885f4f.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/6ae/498_374_1/6aece974676d80fd823289c8ed29ece4.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ac1/498_374_1/ac134b36e54a6fff126b4d504d2698bc.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/012/498_374_1/0121178011e32be31c1d1235934fd3c3.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/66a/498_374_1/66a15c2250cff651f4a2dc1fb4340602.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/210/498_374_1/210f92450932d47d35d0c0bedb7a75c5.jpg;;;;Премиум
Mercedes S W222 rest.2019 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/7bd/205_134_1/7bdc2cf9fc084225d5f1d8f579e3e086.jpg;;MERCEDES;2019;Аренда МЕРСЕДЕС 222 2019 модельного года - непревзойденное сочетание комфорта, стиля и престижа! Самые передовые технологии в одном из лучших автомобилей современности!;4;4;Aвтомат;19000;18050;17100;16150;15200;50000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 25 P / км;Дизельный;250 л.с. ;250 км/ч;5.8 с;5,7 л/100 км;Автоматическая;Полный;5;5255 мм;510 л;дек.18;2800;3500;https://www.avtomaxi.ru/upload/resize_cache/iblock/781/498_374_1/7818221d66c47d88487d80f19c56439a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/22f/498_374_1/22f23ab393867d1730d2d5bc8ff5cda2.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/603/498_374_1/6039009c283f10ed9636cab54b8d2731.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/87b/498_374_1/87baaf7a66a04a81d003c3b9f3f3df5a.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/9aa/498_374_1/9aac87f571639fd243a560ac79ad6f40.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/e1f/498_374_1/e1faa18556ecaa1323acfa53c63a1b6d.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a7f/498_374_1/a7f4a83ff4817cd7849f7a89c3e1a74e.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c0a/498_374_1/c0a61eaf02e3151124c8300b4eb2c9b7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/2aa/498_374_1/2aa13a1c9fad38e31ec0ea5b34cc4015.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/4ff/498_374_1/4ffbd3da4280ab0557937dbf8ab8525b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1bd/498_374_1/1bd9d1382c2eca3bfbf0dc19d2a70894.JPG;;;;;Премиум
BMW X7 M Sport Pro ;https://www.avtomaxi.ru/upload/resize_cache/iblock/326/205_134_1/326f6abc32ad6d4a8a6f89d13ce6afb7.jpg;;BMW;2020;BMW G07 SKD X7 xDrive30d M Sport Pro 2020г., уже в компании ТРОЙКА.;7;5;Aвтомат;21000;19950;18900;17850;16800;60000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 25 P / км;Дизельный;249 л.с. ;227 км/ч;7 с;6,8 л/100 км;;Автоматическая;Полный;7;5151 мм;;3000;4000;https://www.avtomaxi.ru/upload/resize_cache/iblock/60a/498_374_1/60a1bfa449ebcc04c55410ca02b5d21a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/960/498_374_1/9601f143308781365b9933fcb23b347f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/c1f/498_374_1/c1f8940258a4dd2f4d4bfd034029a5d8.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/1b9/498_374_1/1b9c51fb154e36a12c31da837a12fe25.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a78/498_374_1/a7855d296f3a22ed4cf00f6b7098d570.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/12b/498_374_1/12baeda5ca06a8bece2d4f76c0ce8f65.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/491/498_374_1/491df75e4ab222270a4180e78d3fbcf3.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/84d/498_374_1/84debcebc3b0ec152cb00ffa92b33dc9.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/09e/498_374_1/09edd67a985bdc42f7b81c87fd273353.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/fcd/498_374_1/fcdb9566e722a5c2e29044491852b248.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/09c/498_374_1/09c4401b5fb410674ad55b120ae0338f.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/24e/498_374_1/24e20dc0900f74944159ccbba43a8f4b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/694/498_374_1/69428d639f3fd77daf5dfb049cd1447a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7aa/498_374_1/7aa24d9eef109b7238d9087ff9ed6ea7.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a49/498_374_1/a4987c2e312e9c3f50b28d7d0d3fd928.JPG;Премиум
Mercedes-Benz Maybach S rest.2019 ;https://www.avtomaxi.ru/upload/resize_cache/iblock/a3d/205_134_1/a3dcd1ea5a99f34297d367183ab94526.jpeg;;MERCEDES;2019;Аренда МАЙБАХ S 222 без водителя и с водителем. Лидер в своём классе, высочайший уровень комфорта, в сочетании со стилем!  Самые передовые разработки от Mercedes. Maybach в новом рестайлинговом кузове 2019г.;4;4;Aвтомат;21850;21850;20700;19550;18400;70000;Водительский стаж не менее 5 лет;Минимальный возраст 25 лет;Минимальный срок проката 24 часа;Ограничения по пробегу - 250 км/сутки;"Дополнительная опция ""без ограничения пробега"" доступна при аренде от 3-х суток";"Дополнительная опция ""Полная защита (франшиза 0)""";Лимит: 250 км / сутки;Перепробег: 35 P / км;Бензиновый;367 л.с. ;250 км/ч;5.9 с;11,7 л/100 км;Автоматическая;Полный;4;5462 мм;500 л;2018;3300;4500;https://www.avtomaxi.ru/upload/resize_cache/iblock/49e/498_374_1/49ec6df64f09188500ff3fe427375f62.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/d7c/498_374_1/d7c2b0b2389a458570ae69087c2aaf9c.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/8ab/498_374_1/8abfd767079103e267ec709cf0dd9c27.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/f8a/498_374_1/f8a68c38abbb3da241b638ddeeabb8b1.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/eb9/498_374_1/eb9f6cf6cd8239e17ab093c82475cc89.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/226/498_374_1/2267552c1c07b9bd0dea67a076c16b4a.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/7a6/498_374_1/7a615f6a4fc6b95b3b134f40df472170.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/a2b/498_374_1/a2b3d3ace4633b28bd6398d66ff8257b.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/31a/498_374_1/31a0d15b0a2109664a0964823aacf672.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/5d1/498_374_1/5d182edecd5bd129d833d73b1a496137.JPG;https://www.avtomaxi.ru/upload/resize_cache/iblock/627/498_374_1/627e1ab53c124c7d41efea1e0a76666c.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/b53/498_374_1/b5355be9784ff5f25a475ad86925d0f0.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2df/498_374_1/2dffec05c5b1352d0c5edfedde916053.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/2e1/498_374_1/2e16137cd9d8446abf0870a316c0c772.jpg;https://www.avtomaxi.ru/upload/resize_cache/iblock/ea8/498_374_1/ea8704a4f17e1536ad79ae846ec5c76e.JPG;Премиум
